Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,4,12:50,UTC,9.2,642
2021,5,4,13:00,UTC,9.1,270.9
2021,5,4,13:10,UTC,8.7,374.8
2021,5,4,13:20,UTC,9,440.9
2021,5,4,13:30,UTC,8.6,405.4
2021,5,4,13:40,UTC,8.7,226.7
2021,5,4,13:50,UTC,8.2,294.9
2021,5,4,14:00,UTC,8.6,331.6
2021,5,4,14:10,UTC,8.4,265.4
2021,5,4,14:20,UTC,8.3,232.1
2021,5,4,14:30,UTC,7.8,180.7
2021,5,4,14:40,UTC,7.6,161.5
2021,5,4,14:50,UTC,7.3,161.7
2021,5,4,15:00,UTC,7.4,148.2
2021,5,4,15:10,UTC,7.1,141.6
2021,5,4,15:20,UTC,7.1,143.2
2021,5,4,15:30,UTC,7.2,145.3
2021,5,4,15:40,UTC,7,144.8
2021,5,4,15:50,UTC,7.2,135.4
2021,5,4,16:00,UTC,6.9,101.1
2021,5,4,16:10,UTC,6.8,122.2
2021,5,4,16:20,UTC,6.8,137.8
2021,5,4,16:30,UTC,6.9,153.1
2021,5,4,16:40,UTC,6.8,152.7
2021,5,4,16:50,UTC,6.6,159.8
2021,5,4,17:00,UTC,6.6,146.7
2021,5,4,17:10,UTC,6.7,124.7
2021,5,4,17:20,UTC,6.6,97.9
2021,5,4,17:30,UTC,6.4,75.3
2021,5,4,17:40,UTC,6.2,52.7
2021,5,4,17:50,UTC,6.1,37.7
2021,5,4,18:00,UTC,5.9,29.4
2021,5,4,18:10,UTC,5.7,24.3
2021,5,4,18:20,UTC,5.5,17.1
2021,5,4,18:30,UTC,5.3,10
2021,5,4,18:40,UTC,5.2,5.2
2021,5,4,18:50,UTC,4.9,1.8
2021,5,4,19:00,UTC,5.1,-0.6
2021,5,4,19:10,UTC,4.7,-1.9
2021,5,4,19:20,UTC,4.7,-2.4
2021,5,4,19:30,UTC,4.6,-2.4
2021,5,4,19:40,UTC,4.2,-2.3
2021,5,4,19:50,UTC,4.2,-2.6
2021,5,4,20:00,UTC,3.8,-2.1
2021,5,4,20:10,UTC,3.3,-2.6
2021,5,4,20:20,UTC,3.3,-2.8
2021,5,4,20:30,UTC,2.8,-2.4
2021,5,4,20:40,UTC,3,-2.7
2021,5,4,20:50,UTC,2.7,-3
2021,5,4,21:00,UTC,2.5,-2.8
2021,5,4,21:10,UTC,2.3,-2.4
2021,5,4,21:20,UTC,1.7,-2.4
2021,5,4,21:30,UTC,1.2,-2.5
2021,5,4,21:40,UTC,1.5,-2.7
2021,5,4,21:50,UTC,1.2,-2.7
2021,5,4,22:00,UTC,0.9,-2.6
2021,5,4,22:10,UTC,0.3,-2.4
2021,5,4,22:20,UTC,0.2,-2.4
2021,5,4,22:30,UTC,-0.3,-2.5
2021,5,4,22:40,UTC,-1.4,-2.1
2021,5,4,22:50,UTC,-0.9,-2.5
2021,5,4,23:00,UTC,-0.9,-2.3
2021,5,4,23:10,UTC,-1.5,-2.3
2021,5,4,23:20,UTC,-1.4,-2.3
2021,5,4,23:30,UTC,-1.6,-1.9
2021,5,4,23:40,UTC,-0.8,-2.3
2021,5,4,23:50,UTC,-0.5,-2.5
2021,5,5,0:00,UTC,-0.5,-2.3
2021,5,5,0:10,UTC,-0.3,-2.7
2021,5,5,0:20,UTC,-0.6,-2.8
2021,5,5,0:30,UTC,-0.8,-2.6
2021,5,5,0:40,UTC,-1.6,-2.4
2021,5,5,0:50,UTC,-1.7,-2.2
2021,5,5,1:00,UTC,-1.7,-2.1
2021,5,5,1:10,UTC,-1.2,-1.9
2021,5,5,1:20,UTC,-1.3,-1.7
2021,5,5,1:30,UTC,-1.1,-1.2
2021,5,5,1:40,UTC,-1,-0.4
2021,5,5,1:50,UTC,-1,2.6
2021,5,5,2:00,UTC,-0.9,6.3
2021,5,5,2:10,UTC,-1,13.9
2021,5,5,2:20,UTC,-0.9,32.4
2021,5,5,2:30,UTC,-0.9,47.7
2021,5,5,2:40,UTC,-0.5,65.2
2021,5,5,2:50,UTC,-0.3,86.5
